Sno,Profile,Company,Location,Start Date,Duration,Stipend,Apply By,About Internship,Skills Required,Who Can Apply,About Company
11,Social Media Marketing,Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"? 15,000 /month",16 Oct' 24,"As a Social Media Marketing intern at Everstylish Lifestyle Private Limited, you will have the opportunity to showcase your skills in Creative Writing, Search Engine Optimization (SEO), and Digital Marketing. Join our dynamic team and help us elevate our online presence in the fashion industry. Your key responsibilities will include:
1. Creating engaging and compelling content for our social media platforms
2. Optimizing content for SEO to increase organic reach and visibility
3. Developing and implementing social media campaigns to drive traffic and increase brand awareness
4. Monitoring and analyzing social media metrics to track performance and make data-driven decisions
5. Collaborating with the marketing team to develop innovative strategies for growth
6. Staying up-to-date on the latest trends and best practices in social media marketing
7. Assisting with other marketing initiatives and projects as needed
If you are passionate about fashion and have a strong foundation in social media marketing, this internship is the perfect opportunity for you to gain valuable experience and contribute to a growing company. Join us and make a lasting impact on our brand!","['Creative Writing', 'Digital Marketing', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 3 months
4.  are from or open to relocate to Gurgaon and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","We're an e-commerce company dealing in accessories for women. We've already become one of the most well-known names in online fashion jewelry and are also expanding to apparel and other fashion accessories. We have a strong social media presence. With over 3.6M followers on Facebook and 1M on Instagram, we have an audience that looks up to us for content. Perhaps that's one of the reasons we are focusing deeply on generating content for our brand."
12,Microbiologist,Microleer Biopolymers LLP,Bangalore,Immediately,6 Months,"? 3,000 /month",30 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Supervise and conduct research on various microbiological activities regularly.
2. Maintain knowledge of various research methods and perform manual operations on various supplies.
3. Develop and validate protocols for various environmental controls.
4. Perform laboratory analysis on all materials following appropriate sterilization.
5. Test component samples, identify contamination, conduct analysis, and initiate corrective measures.
6. Study cultures of microorganisms in isolation, adhering to standard inhibition and controlling moisture and temperature.
7. Monitor physiological and morphological characteristics and identify microorganisms.
8. Test incoming ingredients and document records.
9. Develop and prepare research papers and documents for protocols.
10. Audit environmental programs and conduct reviews.
11. Develop testing processes for raw materials and equipment, and monitor finished products.
12. Investigate issues and prevent GMP problems with samples.
13. Maintain accurate records and conduct tests for all laboratory activities.
14. Develop and document microbiology laboratory processes and prepare final reports.
15. Manage purchase orders for laboratory processes and monitor inventory.","['Certificate', 'Letter of recommendation']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 4th Sep'24 and 9th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests",Micro Leer is a Bengaluru-based startup focused on manufacturing vegan leather. We leverage fermentation technology sustainably and prioritize natural stewardship. Our mission is to promote sustainability within the human community while delivering excellence to our customers.
13,Content Writing,Aikyam Fellows,"Kochi, Ernakulam",Immediately,2 Months,"? 8,000 /month",16 Oct' 24,"Do you enjoy giving words to ideas, have a passion for storytelling and a knack for SEO optimization? We are seeking someone like you to help us. As an intern, you will have the opportunity to hone your skills in writing, SEO, storytelling, and blogging
Selected intern's day-to-day responsibilities include:
1. Crafting engaging and informative content for website, social media platforms
2. Conducting keyword research and implementing SEO best practices to improve our online visibility
3. Writing and editing blog posts, articles
If you are a creative and motivated individual looking to gain valuable, meaningful experience in the world of content writing, apply now.","['Blogging', 'Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 2 months
4.  are from or open to relocate to Kochi, Ernakulam and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Making technology accessible to changemakers.We love change-makers (NGOs, social enterprises, etc.). We love changemakers and the extraordinary work they do to serve vulnerable communities. Aikyam Fellows make technology accessible to grassroots and small NGOs and help them amplify their impact."
14,Digital Marketing,AppVersal,Noida,Immediately,2 Months,"? 9,000 /month",16 Oct' 24,"As a Digital Marketing intern at AppVersal, you will have the exciting opportunity to work alongside our experienced team to develop and implement innovative marketing strategies. With a strong knowledge of Digital Marketing, SEM, Instagram Marketing, Creative Writing, Facebook Marketing, Email Marketing, Social Media Marketing, SEO, Google Ads, and Facebook Ads, you will be an integral part of our team.
Key Responsibilities:
1. Assist in managing and optimizing SEM campaigns to increase visibility and drive traffic to our website.
2. Create engaging content for social media platforms such as Instagram and Facebook to increase brand awareness and engagement.
3. Develop and execute email marketing campaigns to promote our products and services to our target audience.
4. Implement SEO strategies to improve our website's search engine ranking and increase organic traffic.
5. Manage Google Ads and Facebook Ads campaigns to drive conversions and increase ROI.
6. Analyze data and metrics to track the effectiveness of our marketing efforts and make data-driven decisions.
7. Stay up-to-date on the latest digital marketing trends and best practices to continuously improve our marketing strategies.
Note :
1. Working Days: Monday to Saturday.
2. Timings: 10 AM to 7 PM.
3. Work from the office: Monday, Wednesday, and Friday.
4. Work from home: Tuesday, Thursday, and Saturday.","['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'Facebook Ads', 'Facebook Marketing', 'Google AdWords', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 2 months
4. have relevant skills and interests","AppVersal is one of the leading app marketing companies in the world, with clients from all across the globe. We help app developers market their apps to increase sales and reach new users. We have over 5 million downloads."
15,E-commerce Associate,Passion Pixies,"Indore, Bangalore, Bhopal",Immediately,6 Months,"? 3,000-10,000 /month",16 Oct' 24,"Are you passionate about fashion, beauty, and all things e-commerce? Join the team at Passion Pixies as an E-commerce associate intern part-time job and dive into the fast-paced world of online retail! As an integral part of our team, you will have the opportunity to gain hands-on experience in managing our online store, analyzing sales data, and creating engaging content for our customers.
Selected intern's day-to-day responsibilities include:
1. Assist in updating product listings and inventory on our e-commerce platform
2. Assist with order fulfillment and shipping logistics to ensure timely delivery to customers
3. Monitor and analyze pricing and sales data to identify trends and opportunities for growth
4. Collaborate with the marketing team to create compelling content for social media and email campaigns
5. Support the customer service team by responding to inquiries and resolving issues in a timely manner
6. Help execute promotional campaigns and sales events to drive traffic and increase sales.
Benefits:
1. Flexible working hours with a mostly remote position.
2. Opportunity to gain hands-on experience in e-commerce, logistics, and marketing.
3. Exposure to a dynamic and growing kids and youth e-commerce market.
If you're a highly organized and detail-oriented individual with a passion for the kids/youth e-commerce segment, we encourage you to apply!","['Digital Marketing', 'MS-Excel']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Welcome to Passion Pixies, a dynamic and fast-growing Silicon Valley startup organization with an office in Bhopal, MP. To nurture young minds we create compelling digital and print media, inspiring creativity, curiosity, and critical thinking. Leveraging technology and AI we create enriching educational experiences, empowering each young learner to excel both academically and creatively."
16,Assistant,FPS Jobs,Mumbai,Immediately,3 Weeks,"? 7,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Performs administrative tasks to support daily business operations.
2. Making phone calls, managing schedules, and organizing files.
3. Be a first point of contact for business activities.
4. Contribute to create a welcoming environment.","['Computer Networking', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 weeks
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","FPS Subtitle is a strong multimedia localization company committed to providing excellent subtitling, translation, voice-over, and related services."
17,Content Writing,Sfaira Infotech Private Limited,Delhi,Immediately,5 Months,"? 10,000-15,000 /month",30 Sep' 24,"Are you a talented writer looking to gain valuable experience in the field of content writing? Look no further! Sfaira Infotech Private Limited is seeking a Content Writing intern with strong English proficiency (written and spoken), creative writing skills, blogging experience, and knowledge of Search Engine Optimization (SEO).
As a Content Writing intern at Sfaira Infotech Private Limited, you will have the opportunity to work on exciting projects and collaborate with a team of experienced professionals. Your key responsibilities will include:
1. Creating engaging and informative content for our website and social media platforms
2. Conducting keyword research and implementing SEO best practices to increase online visibility
3. Writing blog posts and articles on a variety of topics related to our industry
4. Assisting with content optimization and editing tasks
5. Collaborating with the marketing team to develop content strategies
6. Monitoring and analyzing the performance of content using analytics tools
7. Participating in team meetings and brainstorming sessions to generate new ideas
If you are passionate about writing and eager to learn, we want to hear from you! Apply now to join our dynamic team and take your writing skills to the next level.","['Blogging', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 5 months
4.  are from or open to relocate to Delhi and neighboring cities
5. have relevant skills and interests","Sfaira Infotech Private Limited is a digital marketing company based in Delhi, India. With a team of skilled professionals, we specialize in providing comprehensive online marketing solutions to businesses. Our services include SEO, PPC advertising, social media marketing, and content creation."
18,Digital Marketing,InCube Coworking Space,Pune,Immediately,3 Months,"? 10,000 /month",30 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Work on social media marketing and digital marketing
2. Work on content creation","['Creative Writing', 'Digital Marketing', 'Email Marketing', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 28th Aug'24 and 2nd Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","InCube coworking space, founded in 2017 has branches in Pune, Nasik, and Nagpur with a total of 250 seats all over the centres. We are dedicated to providing inspiring and affordable workspaces for entrepreneurs, freelancers, startups, and established alike. Our services include managed office spaces, built-to-suit offices, hot desks, dedicated desks, private offices, virtual offices, meeting rooms, and event spaces. Our mission is to foster a vibrant community where ideas thrive, creativity flourishes and businesses grow."
19,Corporate Sales,TOOTHROCKET,Pune,Immediately,3 Months,"? 30,000 lump sum",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Conduct market research to identify potential business opportunities and target markets
2. Assist in developing and implementing strategic business development plans
3. Support the team in identifying and engaging with potential clients and partners
4. Help create marketing materials and presentations for business proposals
5. Participate in networking events and meetings to build professional relationships
6. Analyze industry trends and competitive landscapes to inform business strategies","['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","ToothRocket is a pioneering manufacturer of dental products, specializing in high-quality 3D printing solutions. Our unwavering focus lies in precision, safety, and reproducibility, ensuring the highest standards for dental professionals. With a team boasting extensive experience in dental technology, we are committed to exceeding client expectations through exceptional products and services"
20,Video Hosting/Anchoring,Material Depot,Bangalore,Immediately,3 Months,"? 20,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Host and present engaging and informative content for Instagram reels and short-form video platforms
2. Conduct interviews with interior designers, architects, and other industry professionals to provide valuable insights and inspiration to our audience
3. Collaborate with our marketing and creative teams to develop creative concepts and storyboards for video content
4. Showcase our products in a visually appealing and compelling manner, highlighting their features, benefits, and applications
5. Stay updated on the latest design trends, industry news, and social media best practices to ensure content relevance and effectiveness
6. Engage with our audience through comments, DMs, and other interactions to foster community engagement and build brand loyalty
7. Collaborate with influencers and brand ambassadors to expand our reach and visibility on social media platforms
8. Monitor performance metrics and analytics to track the effectiveness of content and identify areas for improvement
9. Assist with other marketing initiatives and projects as needed","['Anchoring', 'Client Relationship', 'Content Marketing', 'Digital Marketing', 'Effective Communication', 'Instagram Marketing', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","We're on a mission to be India's largest tech company in the architecture, engineering, and construction space by democratizing the construction ecosystem and bringing stakeholders onto a common digital platform, aiding 10M+ businesses in the country. The founding team includes people from top management consulting firms and top colleges in India (like BCG, and IITB), and has worked extensively in the construction space globally. Funded by prominent global VCs, they are seeking to expand their team and hire across roles in technology, product, design, and content teams."
21,Marketing,Sharpener Tech,Bangalore,Immediately,6 Months,"? 12,000 /month",16 Oct' 24,"You will work closely with the founder as a marketing intern at Sharpener Tech. The role comes with a PPO as well. You will have the opportunity to work with a dynamic team and gain hands-on experience in digital marketing, social media marketing, email marketing, and more. Your role is critical in helping us reach our target audience and drive engagement.
Selected intern's day-to-day responsibilities include:
1. Assist in creating and executing digital marketing campaigns across various platforms.
2. Monitor and analyze social media trends to optimize content and increase followers.
3. Help manage email marketing campaigns to promote products and services.
4. Be comfortable to record content.
5. Collaborate with market research to identify new opportunities and target markets.
6. Assist in creating content for social media, website, and email marketing campaigns.
7. Provide support in organizing and promoting company events and initiatives.
The journey will be super thrilling and hope to see you soon!","['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","We are in the ed-tech domain, looking to change the way Indians think about learning. We are starting off with a very niche product, looking to scale up ahead!"
22,Digital Marketing,Strategic Engagement And Event Solutions (SEES),"Delhi, Bangalore",Immediately,4 Months,"? 10,000 /month",16 Oct' 24,"Join us for planning Mommy Fest India, a unique platform celebrating mothers, children, and families! We're looking for enthusiastic, creative interns to help shape our brand's voice across social media. This role offers a dynamic experience, allowing you to work closely with our project leaders, hone your digital marketing skills, and contribute to impactful campaigns. Whether remote or based in Bangalore or Delhi, this internship is a fantastic opportunity to build your career, expand your network, and unleash your creativity!
Selected intern's day-to-day responsibilities include:
1. Manage and grow Mommy Fest India's social media presence across platforms, including Instagram, Facebook, Twitter, and LinkedIn.
2. Create engaging content, including reels, posts, stories, and LinkedIn articles, in line with the content calendar.
3. Assist in implementing marketing strategies, including outreach to potential sponsors and partners.
4. Monitor social media trends and analytics to enhance content performance and engagement.
5. Collaborate in brainstorming sessions for innovative marketing campaigns and event promotions.
6. Participate in all sales and marketing activities to ensure consistent brand messaging and audience engagement.","['Canva', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Written)', 'Instagram Marketing', 'Social Media Marketing', 'Video Making']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 4 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Strategic Engagement and Event Solutions (SEES) Private Limited, founded in 2015, is an established meetings & events company based in New Delhi & Hyderabad, that works with blue-chip corporate and association clients to deliver their internal and external stakeholder live, hybrid, and virtual events. Two parallel verticals around EventTech (SEES/hub) and social events (Shehnai Vibes) cater to bespoke solutions.Culturally, we are an inclusive company that provides opportunities to all, makes no discriminations, values talent, and provides informal long-term career counseling and mentorship by an experienced senior team. You can expect to be exposed to various event management functions and get to work with leading clients in the IT, healthcare, and FMCG sectors. A cross-divisional exposure will be provided across our three verticals."
